asin,parent_asin,main_category,subcategory,title,similar user_id,score
B00BUFJBQS,B07P3Y8JWY,Amazon Home,Reusable Filters,"Disposable Paper Coffee Filters 600 count - Compatible with Keurig, K-Cup machines & other Single Serve Coffee Brewer Reusable K Cups - Use Your Own Coffee & Make Your Own Pods - Works with All Brands",AE6OIQD2NCZH75MBGXG3KHHZ7VTQ,1.0
B07P9KVVCS,B07P3Y8JWY,Amazon Home,Reusable Filters,"Disposable Paper Coffee Filters 600 count - Compatible with Keurig, K-Cup machines & other Single Serve Coffee Brewer Reusable K Cups - Use Your Own Coffee & Make Your Own Pods - Works with All Brands",AE6OIQD2NCZH75MBGXG3KHHZ7VTQ,0.5
B01AUBYMK2,B07RNJY499,Amazon Home,Reusable Filters,iPartPlusMore Reusable Coffee Filters Compatible with 1.0 and 2.0 Keurig Single Cup Coffee Maker - BPA-Free Stainless Steel Refillable K Cup Coffee Filter with Fine Mesh Screen (Pack of 4),AE6JZUKDILHPDYAS4NCSW7IOVZSQ,0.5
B01DLEL4EM,B0B3DB5HTC,Amazon Home,Disposable Filters,12 Pack Keurig Filter Replacement by K&J - Compatible with Keurig Coffee Machine (2.0 and older),AE52GPMH6YF7HQMRWALACH3BBNBQ,0.5
B0001IRRLQ,B0BHNSLKNZ,Amazon Home,Permanent Filters,"Cuisinart Replacement Water Filters, 2-Pack",AEGHRMGHNK2723AIUD3JHXYO3FQQ,0.4
B00LGEKOMS,B07RNJY499,Amazon Home,Reusable Filters,iPartPlusMore Reusable Coffee Filters Compatible with 1.0 and 2.0 Keurig Single Cup Coffee Maker - BPA-Free Stainless Steel Refillable K Cup Coffee Filter with Fine Mesh Screen (Pack of 4),AE5MCZGKGW5BCO437LRGRUHMK5RQ,0.4
B0001IRRLG,B0BHNSLKNZ,Amazon Home,Permanent Filters,"Cuisinart Replacement Water Filters, 2-Pack",AE6HYBNWZFMX3QTIL5LY2H4AT5JQ,0.2
B00888OEQW,B07P3Y8JWY,Amazon Home,Reusable Filters,"Disposable Paper Coffee Filters 600 count - Compatible with Keurig, K-Cup machines & other Single Serve Coffee Brewer Reusable K Cups - Use Your Own Coffee & Make Your Own Pods - Works with All Brands",AEBXNYPC5RW2PRFDLQVILRSOON6Q,0.0
B000TETMVK,B0BHNSLKNZ,Amazon Home,Permanent Filters,"Cuisinart Replacement Water Filters, 2-Pack",AERYURF52GLN35JSFZVAMRZAZA7A,0.0
B00ST3XBKG,B07RNJY499,Amazon Home,Reusable Filters,iPartPlusMore Reusable Coffee Filters Compatible with 1.0 and 2.0 Keurig Single Cup Coffee Maker - BPA-Free Stainless Steel Refillable K Cup Coffee Filter with Fine Mesh Screen (Pack of 4),AEXC6XAUJR3BCIEIFKOBV2OHPFGQ,0.0
